Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_49552,530330264002011,-122.312161,-122.308829,47.495819,47.498477
1_49550,530330264002012,-122.310438,-122.305078,47.495782,47.499298
1_20630,530330056003010,-122.407795,-122.403727,47.635888,47.638138
1_85200,530330267001011,-122.365787,-122.364233,47.502785,47.505602
1_52240,530330276002006,-122.34855,-122.348182,47.480357,47.481001
1_19340,530330032002006,-122.390119,-122.387588,47.672334,47.673111
1_85205,530330267004003,-122.370877,-122.368346,47.507259,47.508204
1_85203,530330121002003,-122.376001,-122.374584,47.506393,47.508188
1_27990,530330014002009,-122.366161,-122.360766,47.705121,47.711141
1_49540,530330264002016,-122.307395,-122.303549,47.495629,47.497966
1_14090,530330058022021,-122.37617,-122.374049,47.63144,47.633597
1_20660,530330056005006,-122.401001,-122.399631,47.639106,47.639555
1_85230,530330266002008,-122.365894,-122.364531,47.513686,47.515493
1_56373,530330261001000,-122.259608,-122.248725,47.497316,47.502831
1_56374,530330261003000,-122.248971,-122.240021,47.489999,47.497784
1_56372,530330261001000,-122.259608,-122.248725,47.497316,47.502831
1_56370,530330119003018,-122.259515,-122.250814,47.502537,47.503657
1_56376,530330261003000,-122.248971,-122.240021,47.489999,47.497784
1_320,530330081001006,-122.337546,-122.335784,47.605406,47.606584
1_49530,530330264002017,-122.30415,-122.302308,47.495616,47.496563
1_20650,530330056003033,-122.402613,-122.400965,47.638631,47.639554
1_85220,530330266002013,-122.365858,-122.36315,47.510014,47.512036
1_52220,530330276001005,-122.350041,-122.348935,47.484743,47.486613
1_85223,530610511002007,-122.316146,-122.311113,47.784805,47.791707
1_19320,530330032001010,-122.39011,-122.387547,47.675287,47.675939
1_85222,530610511002007,-122.316146,-122.311113,47.784805,47.791707
1_58600,530330273002004,-122.293432,-122.289482,47.474311,47.47801
1_14070,530330058022019,-122.376185,-122.364529,47.625214,47.635984
1_49520,530330271002012,-122.301713,-122.299465,47.493949,47.495418
1_27940,530330005003015,-122.366241,-122.36083,47.708754,47.71419
1_58650,530330313012003,-122.090982,-122.080168,47.210753,47.228285
1_20681,530330056005049,-122.395709,-122.394938,47.636686,47.6374
1_20680,530330056005004,-122.398354,-122.395675,47.635912,47.639557
1_52271,530330276002021,-122.348549,-122.347178,47.472161,47.474
1_300,530330081003003,-122.340015,-122.337997,47.607826,47.609283
1_49510,530330271001019,-122.299699,-122.296716,47.49293,47.49407
1_16240,530330206003003,-122.34025,-122.334772,47.750534,47.755992
1_70006,530330219053000,-122.175863,-122.171619,47.753464,47.755488
1_70005,530330219061003,-122.176202,-122.175339,47.755488,47.755934
1_70008,530330323192005,-122.15273,-122.145154,47.75153,47.75583
1_70007,530330323194001,-122.16805,-122.152654,47.747282,47.754515
1_70002,530330221011002,-122.250139,-122.244665,47.745375,47.748042
1_70001,530330221014000,-122.261708,-122.249049,47.7404,47.752264
1_70004,530330323194000,-122.161493,-122.152697,47.750662,47.754482
1_70003,530330323194000,-122.161493,-122.152697,47.750662,47.754482
1_19300,530330032001000,-122.388684,-122.387536,47.677678,47.679504
1_70000,530330221011003,-122.250147,-122.247839,47.744379,47.746574
1_71658,530330234032009,-122.132483,-122.128499,47.587628,47.589034
1_49500,530330271001017,-122.298885,-122.294273,47.489519,47.492308
1_20670,530330056005004,-122.398354,-122.395675,47.635912,47.639557
1_27950,530330005003015,-122.366241,-122.36083,47.708754,47.71419
1_16230,530330206004007,-122.337593,-122.334844,47.755984,47.757809
1_71660,530330234032008,-122.128513,-122.127197,47.587619,47.589012
1_71661,530330234032000,-122.123331,-122.118333,47.584944,47.588977
1_52250,530330276002018,-122.35075,-122.347712,47.47652,47.478473
1_70010,530330221023006,-122.250008,-122.247247,47.751629,47.754353
1_16220,530330206004004,-122.337633,-122.334899,47.757805,47.759632
1_70029,530330236012019,-122.174902,-122.169405,47.609991,47.612279
1_71675,530330233001025,-122.12462,-122.121117,47.588974,47.593622
1_70020,530330217005014,-122.249849,-122.246268,47.75382,47.75757
